Change Attribute Type,Change Package,Change Parameter Type,Change Return Type,Change Variable Type,Extract Class,Extract Interface,Extract Subclass,Extract Superclass,Merge Parameter,Merge Variable,Move And Rename Class,Move And Rename Method,Move Attribute,Move Method,Parameterize Variable,Pull Up Attribute,Pull Up Method,Push Down Attribute,Push Down Method,Rename Attribute,Rename Class,Rename Parameter,Rename Variable,Split Parameter,Split Variable
0.0,0.2218697320041945,0.5471890902422919,0.45307942820443675,0.3992183634789923,0.3842706302382701,0.4340555356152315,0.4215448943661972,0.3078742154833114,0.3545942532365014,0.3202622098860214,0.541837069125212,0.3163798224162803,0.3451032036822135,0.29522838740176094,0.2139363498782708,0.2759812364031907,0.2617253034134525,0.3663242567530844,0.34876826152255747,0.4685326517013036,0.46851096509073153,0.3198514394230883,0.23776692113957615,0.3100850546780073,0.34510178117048346
0.5228157483249479,0.2235953117326148,0.0,0.45571768487561964,0.41574206206689784,0.3550629225432355,0.4385584233367051,0.44223151408450706,0.3483295011005736,0.4536233028102305,0.3783145337506644,0.5049232654573436,0.36278919069035476,0.30857770591840195,0.3158157537079714,0.28639264799420966,0.3164204133430022,0.32221158331491984,0.38292842002282734,0.39298601494080243,0.3245257382033235,0.41902056717389535,0.4930294868602998,0.24216047827381634,0.3929526123936817,0.36036895674300257
0.4236696805450907,0.20602094588316497,0.44600291059718117,0.0,0.4198960289940747,0.31593573544678805,0.3786504388684047,0.41032130281690143,0.31817623906586256,0.32009788443321757,0.31606921396090476,0.46902118927853853,0.3788581258823257,0.26743314252930517,0.28322106009572773,0.23925821946351414,0.2875951776649746,0.29788122069185635,0.347165606826458,0.36468431215744407,0.2443307234184332,0.3966530026853283,0.27152506313070074,0.24025384027216493,0.3036452004860267,0.32538167938931295
0.3816252663474548,0.2037909659264372,0.4159482918525538,0.4292549740777203,0.0,0.2831261236168435,0.34091428198518614,0.36454665492957744,0.2703319722770009,0.32499210609409535,0.42555955825902086,0.4528121749291078,0.27421333189332636,0.24713142007745165,0.24364474383974472,0.3849055776105981,0.24836838288614937,0.24130678516772647,0.3192293059405402,0.3126450681698492,0.2429537503644163,0.3994044470664822,0.2607979634353879,0.4654345509420297,0.3031591737545565,0.42048346055979646
0.15298268640270926,0.07073549517501361,0.1589932259189421,0.16353292459849436,0.1826219890096269,0.21903881700554528,0.19062224687571377,0.2083700117370892,0.2005907911855919,0.24494790022102936,0.30827378491702595,0.16221126579933595,0.22039821336275062,0.19309454578644727,0.1894551793417243,0.7255390081810804,0.20250181290790428,0.2041933662321082,0.19944018696668298,0.19811191948350856,0.1746868622714589,0.13238211001708847,0.1981393283518549,0.23089408015078583,0.3025516403402187,0.2811704834605598
0.011639282502491312,0.00812349841379402,0.012779705103296521,0.012115836363104695,0.010529527490234841,0.03196136024105538,0.02429275296113812,0.0,0.04740240080517801,0.012156615093148089,0.007854485324514262,0.023925217663906977,0.028465852548426665,0.0185284184997327,0.019488270401229097,0.007742416599039326,0.01622552574329224,0.017005884134115704,0.5781564215446492,0.5038717353566483,0.008205874390904169,0.01353344454390105,0.009772190589510872,0.0059347925440419195,0.014337788578371811,0.011450381679389313
0.03810388968556822,0.033927552198786785,0.0451206159527436,0.04211246814543336,0.034999899355557744,0.08745853695591624,0.10788984239892975,0.21247799295774647,0.0,0.04613988001263025,0.03590621862635091,0.08484261225187739,0.08907728980397905,0.06021410037421929,0.0711635052886604,0.03211019235408944,0.5645735134155185,0.5211673336443168,0.15223653459427142,0.15701496030739823,0.031822654200158264,0.054738994222475384,0.03860053004999801,0.02524659221179825,0.03608748481166464,0.03880407124681934
0.10721548420549466,0.058669710766290135,0.10033716713887025,0.08885271574733819,0.08031744316502404,0.7081761324791735,0.14347244428492184,0.2084800469483568,0.15115089723342798,0.1744158509630565,0.12407724561507116,0.1590122119782835,0.363738052441969,0.0,0.42367192578148083,0.08001228258723928,0.16639095358955766,0.13528598201206288,0.20327191695200827,0.1768320037449531,0.11955457915122236,0.09250396696232403,0.10311940567147031,0.07352336449617528,0.14289185905224788,0.1291348600508906
0.10224501535295595,1.0,0.10612020363580861,0.09762091197471778,0.0907124249271917,0.2256539133517332,0.19165007994257185,0.25062353286384975,0.18796487983700055,0.10396274076413009,0.07600543317781847,0.4413269304757969,0.15349960271235602,0.16084258015725034,0.1671778053536607,0.06067817428113965,0.1723508883248731,0.1577995466188734,0.19503777379205392,0.1854141879108233,0.08520313606263796,0.11583529986166491,0.08188399471027777,0.06172140615643376,0.10182260024301337,0.09796437659033079
0.10119481645318361,0.07105406374026042,0.11329812210304956,0.10381799927870322,0.08736361353805472,0.7356999974679057,0.16344177244102195,0.2419307511737089,0.19708859412972857,0.1488395958320177,0.12325045768617493,0.1809852230787865,0.4177306004057734,0.46743509837925235,0.0,0.08658127344109841,0.18104151559100798,0.1882841079276227,0.20395130170117942,0.2189627260137705,0.09981753154804048,0.10213147937179591,0.1119453093592948,0.07685779949105419,0.13402187120291617,0.11577608142493638
0.02466701504508665,0.016485923251523156,0.029599904181360093,0.0274894215221528,0.023222380781361074,0.051471146785506294,0.08911149541553823,0.05252347417840376,0.40771956238902207,0.03544363751184086,0.025571369515147935,0.04866266725565356,0.05783428090936442,0.04786942745752546,0.047207941854281156,0.02335884894611015,0.0,0.513818303830825,0.0567422142507745,0.053482611324582104,0.022695327141726708,0.02897408251281634,0.02697672112666341,0.017671305643452147,0.025394896719319562,0.02385496183206107
0.03238805305074172,0.021516651844379255,0.04173198551273042,0.03942114309293357,0.031237916045584516,0.06773985263211202,0.10403954710085817,0.07621772300469483,0.5210991007208962,0.04633722766024629,0.036969231677788934,0.0656839135329239,0.08056067700900262,0.053886925795053005,0.0679755362524375,0.031616695545368806,0.7113963923132705,0.0,0.07478667318876026,0.08884511108077006,0.029287357877639416,0.03978151192123037,0.03957052801300228,0.024366353729342483,0.03766707168894289,0.03371501272264631
0.013651572969075338,0.00793766675073337,0.014935624501165404,0.013835685129048224,0.012444950138624476,0.03157521586103867,0.02594054883022808,0.7803330399061033,0.045839504455482,0.0170903062835491,0.01133880588200555,0.023084486370178264,0.029244999189996065,0.02438292934166091,0.02217396442711103,0.011372359792073345,0.023658448150833938,0.022521748381658525,0.0,0.5354112621662213,0.010985850235308816,0.013881825209536984,0.012424596130570347,0.007994136106466317,0.02381530984204131,0.010814249363867684
0.01810858874332612,0.011707394772820791,0.021355685362960796,0.02024937807106181,0.016981365946370286,0.043564682348770666,0.039008712108852414,0.9475132042253521,0.06587076238247593,0.0214714240606252,0.016476702297289317,0.03164142097838323,0.04198906108972529,0.029552892702071898,0.033167878035809256,0.014497839580637379,0.031068709209572155,0.03727709443257797,0.7459644545899233,0.0,0.01440225313398026,0.019748352184880788,0.018214406194191436,0.011200952882699223,0.02563791008505468,0.023536895674300253
0.3005472781923211,0.1532580272641597,0.48487093631982225,0.2728483749703521,0.25635516682081155,0.3494606639151242,0.2929487388651418,0.3325630868544601,0.29306352232650623,0.46258288601199876,0.41652394732179765,0.35024295709420467,0.39272847896689783,0.3118863520790685,0.3068811676416711,0.35658982738578293,0.283606780275562,0.30046729354382,0.31327789553780094,0.3296338918254696,0.43025201990754236,0.2821069655789731,0.0,0.2961113528949157,0.4183475091130012,0.5139949109414759
0.22075849273671502,0.12011362278827137,0.23531955622402484,0.2385521212731646,0.45206199273876835,0.23554807181019422,0.18998596926289685,0.19956719483568075,0.18939685293227176,0.32057151878749607,0.47959605504045355,0.2693332573350243,0.24519976239884594,0.21972670256737903,0.2081870826685576,0.3889851512293554,0.18356825598259607,0.1828173463291678,0.1991684330670145,0.20029647545300278,0.271527893465495,0.23457461957848483,0.29258803000958145,0.0,0.3093560145808019,0.5562977099236641
