Change Attribute Type,Change Package,Change Parameter Type,Change Return Type,Change Variable Type,Extract Class,Extract Interface,Extract Subclass,Extract Superclass,Inline Method,Inline Variable,Merge Parameter,Merge Variable,Move And Inline Method,Move And Rename Attribute,Move And Rename Class,Move And Rename Method,Move Attribute,Move Method,Parameterize Variable,Pull Up Attribute,Pull Up Method,Push Down Attribute,Push Down Method,Rename Attribute,Rename Class,Rename Method,Rename Parameter,Rename Variable,Replace Attribute,Replace Variable With Attribute,Split Parameter,Split Variable
0.0,0.2218697320041945,0.5471890902422919,0.45307942820443675,0.3992183634789923,0.3842706302382701,0.4340555356152315,0.4215448943661972,0.3078742154833114,0.256869196073229,0.20822293773093967,0.3545942532365014,0.3202622098860214,0.33713282978561077,0.3150255649018638,0.541837069125212,0.3163798224162803,0.3451032036822135,0.29522838740176094,0.2139363498782708,0.2759812364031907,0.2617253034134525,0.3663242567530844,0.34876826152255747,0.4685326517013036,0.46851096509073153,0.2523450074929233,0.3198514394230883,0.23776692113957615,0.37930315042770707,0.23988017692625732,0.3100850546780073,0.34510178117048346
0.5228157483249479,0.2235953117326148,0.0,0.45571768487561964,0.41574206206689784,0.3550629225432355,0.4385584233367051,0.44223151408450706,0.3483295011005736,0.25930485539931014,0.21168034978079295,0.4536233028102305,0.3783145337506644,0.34399938963912413,0.285172356919017,0.5049232654573436,0.36278919069035476,0.30857770591840195,0.3158157537079714,0.28639264799420966,0.3164204133430022,0.32221158331491984,0.38292842002282734,0.39298601494080243,0.3245257382033235,0.41902056717389535,0.27666668722338367,0.4930294868602998,0.24216047827381634,0.36532443146254956,0.20565727168477793,0.3929526123936817,0.36036895674300257
0.4236696805450907,0.20602094588316497,0.44600291059718117,0.0,0.4198960289940747,0.31593573544678805,0.3786504388684047,0.41032130281690143,0.31817623906586256,0.26235075616874504,0.2110565898748916,0.32009788443321757,0.31606921396090476,0.333852140077821,0.2421243608774534,0.46902118927853853,0.3788581258823257,0.26743314252930517,0.28322106009572773,0.23925821946351414,0.2875951776649746,0.29788122069185635,0.347165606826458,0.36468431215744407,0.2443307234184332,0.3966530026853283,0.3042301612263315,0.27152506313070074,0.24025384027216493,0.31107865637387855,0.19333172113051822,0.3036452004860267,0.32538167938931295
0.3816252663474548,0.2037909659264372,0.4159482918525538,0.4292549740777203,0.0,0.2831261236168435,0.34091428198518614,0.36454665492957744,0.2703319722770009,0.2713929424250464,0.25650789501823756,0.32499210609409535,0.42555955825902086,0.31192492561226826,0.24031007751937986,0.4528121749291078,0.27421333189332636,0.24713142007745165,0.24364474383974472,0.3849055776105981,0.24836838288614937,0.24130678516772647,0.3192293059405402,0.3126450681698492,0.2429537503644163,0.3994044470664822,0.2288764315183808,0.2607979634353879,0.4654345509420297,0.3231796369705821,0.37146713056502506,0.3031591737545565,0.42048346055979646
0.06147663839130188,0.05074531770577538,0.0594520742509664,0.05405285394173525,0.0473834034136476,0.0,0.1004992332039025,0.18518926056338028,0.11305223019581209,0.06949323427964978,0.04426319103686718,0.10921218819071676,0.07919447233213252,0.08352788586251621,0.08411677387431965,0.12714992091425967,0.24024716691481074,0.364674742153782,0.3433788335401525,0.045379773210799904,0.09212971356055112,0.08757457464830228,0.13555084515462798,0.13423316233981547,0.0627602973637083,0.06306961510293758,0.04590006557592726,0.059498597275167944,0.04058695654545117,0.12497392030043813,0.05453666071191756,0.07861482381530985,0.07856234096692112
0.15298268640270926,0.07073549517501361,0.1589932259189421,0.16353292459849436,0.1826219890096269,0.21903881700554528,0.19062224687571377,0.2083700117370892,0.2005907911855919,0.22537543114884584,0.29439685387384606,0.24494790022102936,0.30827378491702595,0.22993820096131837,0.19594260267194458,0.16221126579933595,0.22039821336275062,0.19309454578644727,0.1894551793417243,0.7255390081810804,0.20250181290790428,0.2041933662321082,0.19944018696668298,0.19811191948350856,0.1746868622714589,0.13238211001708847,0.19219913702901992,0.1981393283518549,0.23089408015078583,0.26517838514500314,0.2916942951423289,0.3025516403402187,0.2811704834605598
0.011639282502491312,0.00812349841379402,0.012779705103296521,0.012115836363104695,0.010529527490234841,0.03196136024105538,0.02429275296113812,0.0,0.04740240080517801,0.01014062085433802,0.007235614908455808,0.012156615093148089,0.007854485324514262,0.014938582436865798,0.013689592610918688,0.023925217663906977,0.028465852548426665,0.0185284184997327,0.019488270401229097,0.007742416599039326,0.01622552574329224,0.017005884134115704,0.5781564215446492,0.5038717353566483,0.008205874390904169,0.01353344454390105,0.007952365975344274,0.009772190589510872,0.0059347925440419195,0.020863759649488837,0.007200305798469447,0.014337788578371811,0.011450381679389313
0.03810388968556822,0.033927552198786785,0.0451206159527436,0.04211246814543336,0.034999899355557744,0.08745853695591624,0.10788984239892975,0.21247799295774647,0.0,0.03908198461130273,0.029191963596183777,0.04613988001263025,0.03590621862635091,0.053025101091020065,0.07587003133762164,0.08484261225187739,0.08907728980397905,0.06021410037421929,0.0711635052886604,0.03211019235408944,0.5645735134155185,0.5211673336443168,0.15223653459427142,0.15701496030739823,0.031822654200158264,0.054738994222475384,0.037430698167779816,0.03860053004999801,0.02524659221179825,0.15042770707281453,0.02840337314434156,0.03608748481166464,0.03880407124681934
0.10721548420549466,0.058669710766290135,0.10033716713887025,0.08885271574733819,0.08031744316502404,0.7081761324791735,0.14347244428492184,0.2084800469483568,0.15115089723342798,0.12193685327673123,0.08061948269511804,0.1744158509630565,0.12407724561507116,0.2054932478828107,0.2322282698334158,0.1590122119782835,0.363738052441969,0.0,0.42367192578148083,0.08001228258723928,0.16639095358955766,0.13528598201206288,0.20327191695200827,0.1768320037449531,0.11955457915122236,0.09250396696232403,0.08339140605888677,0.10311940567147031,0.07352336449617528,0.22470269142499477,0.11572755852686267,0.14289185905224788,0.1291348600508906
0.10224501535295595,1.0,0.10612020363580861,0.09762091197471778,0.0907124249271917,0.2256539133517332,0.19165007994257185,0.25062353286384975,0.18796487983700055,0.08295038471743169,0.060195801204747705,0.10396274076413009,0.07600543317781847,0.09712367437247273,0.11875309252845126,0.4413269304757969,0.15349960271235602,0.16084258015725034,0.1671778053536607,0.06067817428113965,0.1723508883248731,0.1577995466188734,0.19503777379205392,0.1854141879108233,0.08520313606263796,0.11583529986166491,0.07292084224980934,0.08188399471027777,0.06172140615643376,0.15543500938869184,0.07173002363697353,0.10182260024301337,0.09796437659033079
