id,commits,exceptionsCount,gitUrl,javaLoc,numberOfProductionFiles,numberOfTestFiles,productionLoc,testLoc,refactoring,Refactorings_Count
21,3531,0,https://github.com/zxing/zxing,43674,350,149,35356,8318,Split Parameter,4
21,3531,0,https://github.com/zxing/zxing,43674,350,149,35356,8318,Split Variable,1
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Change Attribute Type,1322
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Change Package,354
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Change Parameter Type,3374
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Change Return Type,2385
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Change Variable Type,2044
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Extract And Move Method,368
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Extract Attribute,50
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Extract Class,132
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Extract Interface,90
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Extract Method,1526
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Extract Subclass,39
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Extract Superclass,412
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Extract Variable,686
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Inline Method,298
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Inline Variable,241
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Merge Parameter,20
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Merge Variable,12
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Move And Inline Method,143
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Move And Rename Class,120
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Move And Rename Method,173
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Move Attribute,492
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Move Class,1563
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Move Method,578
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Move Source Folder,1463
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Parameterize Variable,93
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Pull Up Attribute,326
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Pull Up Method,839
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Push Down Attribute,94
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Push Down Method,325
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Rename Attribute,424
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Rename Class,467
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Rename Method,1692
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Rename Parameter,1390
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Rename Variable,840
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Replace Attribute,3
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Replace Variable With Attribute,76
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Split Parameter,15
22,9867,4,https://github.com/netty/netty,287166,1844,760,183196,103970,Split Variable,2
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Change Attribute Type,410
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Change Package,145
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Change Parameter Type,861
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Change Return Type,422
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Change Variable Type,690
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Extract And Move Method,345
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Extract Attribute,72
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Extract Class,35
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Extract Interface,134
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Extract Method,551
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Extract Subclass,8
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Extract Superclass,127
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Extract Variable,545
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Inline Method,72
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Inline Variable,51
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Merge Variable,2
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Move And Inline Method,31
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Move And Rename Attribute,3
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Move And Rename Class,78
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Move And Rename Method,39
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Move Attribute,96
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Move Class,1167
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Move Method,255
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Move Source Folder,11
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Parameterize Variable,31
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Pull Up Attribute,237
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Pull Up Method,779
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Push Down Attribute,16
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Push Down Method,32
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Rename Attribute,259
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Rename Class,123
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Rename Method,582
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Rename Parameter,362
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Rename Variable,315
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Replace Attribute,3
26,6109,6,https://github.com/alibaba/druid,305130,1077,2995,165511,139619,Replace Variable With Attribute,19
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Change Attribute Type,287
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Change Package,1466
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Change Parameter Type,431
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Change Return Type,543
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Change Variable Type,801
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Extract And Move Method,86
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Extract Attribute,28
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Extract Class,28
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Extract Interface,22
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Extract Method,375
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Extract Subclass,6
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Extract Superclass,88
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Extract Variable,216
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Inline Method,66
29,4312,5,https://github.com/alibaba/dubbo,169117,1285,959,89541,79576,Inline Variable,56
